Property_ID,Address,Value_2023,Link,area_1,area,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10
R334385,"1504 EDELWEISS DR, CEDAR PARK, TX  78613",511057,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334385,2714,"2,714 Sq. Ft","1 Main Area 1994 1,238 N/A Details","2 Second Floor 1994 1,476 N/A Details",3 Garage 1994 420 N/A Details,4 Open Porch 1994 20 N/A Details,5 Fireplace 1994 1 N/A,-,-,-,-,-
R335121,"1701 TODD LN, CEDAR PARK, TX  78613",516423,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335121,2688,"2,688 Sq. Ft","1 Main Area 1998 1,148 N/A Details","2 Second Floor 1998 1,540 N/A Details",3 Garage 1998 380 N/A Details,4 Open Porch 1998 12 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R335166,"2214 SHARON DR, CEDAR PARK, TX  78613",570090,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335166,2692,"2,692 Sq. Ft","1 Main Area 1994 2,692 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 18 N/A Details,4 Deck 1994 352 N/A Details,5 Fireplace 1994 1 N/A,-,-,-,-,-
R341273,"1503 AUTUMN FIRE CV, AUSTIN, TX  78613",504102,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341273,2696,"2,696 Sq. Ft","1 Main Area 1997 1,336 N/A Details","2 Second Floor 1997 1,360 N/A Details",3 Garage 1997 399 N/A Details,4 Open Porch 1997 128 N/A Details,-,-,-,-,-,-
R341295,"1718 STAR LIGHT CIR, CEDAR PARK, TX  78613",570431,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341295,2698,"2,698 Sq. Ft","1 Main Area 1996 1,591 N/A Details","2 Second Floor 1996 1,107 N/A Details",3 Garage 1996 483 N/A Details,4 Open Porch 1996 64 N/A Details,5 Fireplace 1996 1 N/A Details,6 Patio 2007 317 N/A Details,-,-,-,-
R341337,"1743 STAR LIGHT CIR, CEDAR PARK, TX  78613",542653,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341337,2698,"2,698 Sq. Ft","1 Main Area 1996 1,591 N/A Details","2 Second Floor 1996 1,107 N/A Details",3 Garage 1996 483 N/A Details,4 Open Porch 1996 64 N/A Details,5 Fireplace 1996 1 N/A Details,6 Deck 2022 588 N/A,-,-,-,-
R341713,"1806 AUTUMN FIRE DR, CEDAR PARK, TX  78613",514406,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341713,2702,"2,702 Sq. Ft","1 Main Area 1996 1,687 N/A Details","2 Second Floor 1996 1,015 N/A Details",3 Garage 1996 451 N/A Details,4 Open Porch 1996 58 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R341760,"1700 BOW RIDGE DR, CEDAR PARK, TX  78613",517163,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341760,2679,"2,679 Sq. Ft","1 Main Area 1997 1,811 N/A Details",2 Second Floor 1997 868 N/A Details,3 Garage 1997 444 N/A Details,4 Open Porch 1997 57 N/A Details,5 Patio 1997 100 N/A Details,6 Fireplace 1997 1 N/A,-,-,-,-
R359747,"1709 DEL NORTE CV, CEDAR PARK, TX  78613",495794,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359747,2681,"2,681 Sq. Ft","1 Main Area 2001 1,127 N/A Details","2 Second Floor 2001 1,554 N/A Details",3 Garage 2001 399 N/A Details,4 Open Porch 2001 28 N/A Details,5 Patio 2001 64 N/A Details,6 Fireplace 2001 1 N/A Details,-,-,-,-
R359812,"1701 BARRILLA ST, CEDAR PARK, TX  78613",479314,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359812,2688,"2,688 Sq. Ft","1 Main Area 2002 1,150 N/A Details","2 Second Floor 2002 1,538 N/A Details",3 Garage 2002 361 N/A Details,4 Open Porch 2002 82 N/A Details,5 Patio 2002 18 N/A Details,-,-,-,-,-
